PilaPrinceton, PilaDeCola, ColaPrinceton, ColaDePilas
"0,000587","0,025834","0,000401","0,000436"
"0,000581","0,025040","0,000424","0,000425"
"0,000489","0,023048","0,000106","0,000127"
"0,000636","0,023604","0,000095","0,000181"
"0,000638","0,024069","0,000099","0,000130"
"0,000511","0,023610","0,000099","0,000137"
"0,000498","0,024003","0,093280","0,136900"
"0,000603","0,025427","0,000094","0,000150"
"0,000575","0,016377","0,000051","0,000076"
"0,000285","0,018268","0,000089","0,000119"
"0,000523","0,019237","0,000082","0,000133"
"0,000564","0,020051","0,000099","0,000148"
"0,000412","0,020636","0,000099","0,000137"
"0,000418","0,019641","0,000100","0,000148"
"0,000581","0,023739","0,000192","0,000250"
"0,000443","0,022731","0,000050","0,000075"
"0,000282","0,012974","0,000050","0,000069"
"0,000264","0,012892","0,000049","0,000068"
"0,000267","0,012599","0,000053","0,000072"
"0,000273","0,012833","0,000052","0,000070"
"0,000259","0,012793","0,000048","0,000071"
"0,000258","0,012879","0,000050","0,073410"
"0,000262","0,012873","0,000051","0,000068"
"0,000280","0,012797","0,000047","0,000072"
"0,000280","0,012921","0,000048","0,070010"
"0,000260","0,012940","0,000048","0,000070"
"0,000277","0,012776","0,000056","0,000074"
"0,000271","0,013066","0,000049","0,000074"
"0,000305","0,012841","0,000049","0,000068"
"0,000252","0,012719","0,000046","0,000072"
"0,000246","0,012629","0,000046","0,000072"
"0,000256","0,012757","0,000049","0,000069"
"0,000250","0,012632","0,000047","0,000071"
"0,000248","0,012695","0,000048","0,000069"
"0,000246","0,012590","0,000048","0,000067"
"0,000252","0,012758","0,000048","0,000077"
"0,000249","0,012903","0,000062","0,000071"
"0,000249","0,013297","0,000051","0,000073"
"0,000261","0,012744","0,000051","0,000070"
"0,000260","0,013101","0,000052","0,000067"
"0,000258","0,013033","0,000050","0,000074"
"0,000254","0,013009","0,000049","0,000072"
"0,000256","0,013024","0,000055","0,000073"
"0,000258","0,013011","0,000051","0,000073"
"0,000365","0,013175","0,000051","0,000074"
"0,000253","0,013213","0,056420","0,071880"
"0,000282","0,013178","0,048870","0,000070"
"0,000290","0,013006","0,000048","0,000071"
"0,000251","0,012757","0,000051","0,000070"
"0,246800","0,012696","0,048790","0,000069"
"0,000243","0,012675","0,000049","0,000071"
"0,000253","0,012699","0,000050","0,068410"
"0,000247","0,013699","0,000066","0,000075"
"0,000255","0,012787","0,000047","0,000072"
"0,000243","0,012644","0,000047","0,000070"
"0,000250","0,012709","0,000049","0,000069"
"0,000246","0,012685","0,047670","0,000072"
"0,000242","0,012655","0,000049","0,000069"
"0,000244","0,012693","0,000046","0,000070"
"0,000246","0,012856","0,000048","0,000073"
"0,000270","0,012878","0,000048","0,000070"
"0,000266","0,012816","0,000047","0,000071"
"0,000271","0,012704","0,000051","0,000078"
"0,000253","0,012757","0,000050","0,000069"
"0,000247","0,015070","0,000082","0,000136"
"0,000311","0,012698","0,000096","0,000107"
"0,000251","0,012692","0,000048","0,000070"
"0,000241","0,012887","0,000049","0,000067"
"0,000248","0,012662","0,000050","0,000068"
"0,000249","0,012502","0,000047","0,000075"
"0,000246","0,012712","0,000047","0,000072"
"0,000339","0,012648","0,000047","0,000073"
"0,000241","0,012695","0,000051","0,000067"
"0,000237","0,012703","0,000047","0,000074"
"0,000246","0,012789","0,000051","0,000069"
"0,000250","0,012963","0,000047","0,000073"
"0,000260","0,012756","0,000048","0,000072"
"0,000248","0,012534","0,050170","0,000070"
"0,000250","0,012720","0,000048","0,000071"
"0,000243","0,012669","0,000048","0,000069"
"0,000238","0,012920","0,000051","0,000071"
"0,000257","0,012623","0,000047","0,000074"
"0,000486","0,013231","0,000048","0,076610"
"0,000261","0,012758","0,000049","0,071130"
"0,000244","0,012731","0,000048","0,000068"
"0,000245","0,012664","0,000049","0,000072"
"0,000254","0,012710","0,000049","0,000069"
"0,000318","0,012737","0,000048","0,068770"
"0,000254","0,012809","0,000047","0,000074"
"0,000437","0,012592","0,048670","0,000069"
"0,000492","0,013615","0,049820","0,000074"
"0,000246","0,014189","0,050640","0,000112"
"0,000547","0,013876","0,000053","0,000070"
"0,000254","0,012676","0,000049","0,000072"
"0,000259","0,012742","0,000049","0,000073"
"0,000255","0,012865","0,000049","0,000071"
"0,000265","0,012844","0,000049","0,069210"
"0,000246","0,012686","0,000049","0,000072"
"0,257300","0,012820","0,045650","0,000076"
"0,000247","0,012878","0,000049","0,000071"
