PilaPrinceton, PilaDeCola, ColaPrinceton, ColaDePilas
"0,005487","7,692060","0,000957","0,001734"
"0,005132","6,900257","0,001025","0,001495"
"0,003901","6,166853","0,000895","0,001432"
"0,003867","6,212887","0,000937","0,001440"
"0,003818","6,163272","0,000885","0,001438"
"0,003925","6,222858","0,000922","0,001405"
"0,003901","6,162333","0,000903","0,001419"
"0,003847","6,206005","0,000888","0,001441"
"0,003824","6,676664","0,001805","0,002802"
"0,009883","7,157614","0,000974","0,001885"
"0,004344","6,884812","0,001009","0,001489"
"0,004609","6,579005","0,000928","0,001448"
"0,005831","6,784473","0,000936","0,001541"
"0,004176","6,928469","0,000945","0,001482"
"0,004618","6,623137","0,001816","0,002818"
"0,009263","7,236289","0,001122","0,001755"
"0,004860","6,827683","0,000889","0,001436"
"0,004014","7,279265","0,001149","0,002161"
"0,004871","7,011839","0,001499","0,001991"
"0,004788","7,421628","0,000978","0,001569"
"0,004402","6,949524","0,000897","0,001485"
"0,003889","6,254099","0,000883","0,001432"
"0,003918","6,206844","0,000901","0,001444"
"0,003769","6,276311","0,000904","0,001502"
"0,003925","6,241023","0,000881","0,001440"
"0,003879","6,349350","0,000899","0,001425"
"0,003900","6,271507","0,000894","0,001444"
"0,003909","6,273171","0,000877","0,001442"
"0,003949","6,200872","0,000888","0,001456"
"0,003886","6,167618","0,000910","0,001438"
"0,003942","6,222365","0,000915","0,001459"
"0,004360","6,163931","0,000874","0,001404"
"0,003894","6,227126","0,000896","0,001509"
"0,003844","6,168229","0,000880","0,001388"
"0,003781","6,236352","0,000894","0,001468"
"0,003912","6,346275","0,000884","0,001444"
"0,004164","5,990232","0,000888","0,001440"
"0,003912","6,039179","0,000900","0,001527"
"0,003895","5,972282","0,000900","0,001429"
"0,003881","6,032413","0,000893","0,001805"
"0,003897","6,076117","0,000891","0,001407"
"0,003854","6,031388","0,884600","0,001386"
"0,003913","6,064786","0,000884","0,001458"
"0,003873","6,018203","0,000911","0,001417"
"0,003950","6,166155","0,000940","0,001528"
"0,004447","6,957316","0,000885","0,001441"
"0,003850","6,040844","0,000923","0,001471"
"0,003937","5,964529","0,000886","0,001425"
"0,003829","6,030170","0,000879","0,001435"
"0,003943","6,091582","0,000906","0,001402"
"0,004183","6,028339","0,000876","0,001425"
"0,003864","6,072237","0,000950","0,001447"
"0,003870","6,003403","0,000886","0,001418"
"0,003901","6,050221","0,000991","0,001436"
"0,003882","6,014088","0,000868","0,001595"
"0,003745","6,252349","0,000893","0,001470"
"0,003912","6,113511","0,000994","0,001443"
"0,003906","6,057800","0,000878","0,001554"
"0,003874","6,079876","0,000898","0,001454"
"0,003969","6,012280","0,000883","0,001522"
"0,003914","6,121123","0,000958","0,001420"
"0,003894","6,015598","0,000891","0,001438"
"0,003955","6,120650","0,000936","0,001436"
"0,003888","5,986959","0,000861","0,001390"
"0,003846","6,100105","0,000882","0,001424"
"0,003908","6,110414","0,000875","0,001437"
"0,004066","6,034675","0,000860","0,001387"
"0,003882","6,158548","0,001181","0,001731"
"0,004208","6,708744","0,000881","0,001436"
"0,003973","6,077437","0,000935","0,001483"
"0,003863","6,002152","0,000897","0,001416"
"0,003829","6,060493","0,000865","0,001425"
"0,003954","6,012203","0,000877","0,001454"
"0,003897","6,101922","0,000870","0,001543"
"0,003956","6,132544","0,000933","0,001437"
"0,003821","6,033807","0,000936","0,001404"
"0,003868","6,079651","0,000933","0,001456"
"0,004048","6,018969","0,001121","0,001472"
"0,003857","6,067971","0,000953","0,001602"
"0,003966","6,633996","0,000976","0,001539"
"0,004254","6,886450","0,000984","0,002088"
"0,004317","6,747316","0,000893","0,001446"
"0,003882","6,449941","0,000928","0,001507"
"0,004742","6,238184","0,000878","0,001435"
"0,003925","6,162870","0,000902","0,001410"
"0,005614","6,069513","0,000997","0,001480"
"0,003944","6,075647","0,000890","0,001440"
"0,003915","6,191611","0,000964","0,001500"
"0,003951","6,014938","0,001149","0,001596"
"0,004207","7,003589","0,001026","0,001877"
"0,004652","6,744872","0,000896","0,001481"
"0,003985","6,091094","0,000883","0,001442"
"0,003994","6,081168","0,000894","0,001473"
"0,003845","6,512813","0,001113","0,002376"
"0,005606","6,351018","0,000964","0,001457"
"0,003878","6,175956","0,000881","0,001451"
"0,003857","6,046408","0,000860","0,001399"
"0,003861","5,981072","0,000858","0,001453"
"0,003866","6,031261","0,000889","0,001419"
"0,003859","6,075242","0,000889","0,001439"
