PilaPrinceton, PilaDeCola, ColaPrinceton, ColaDePilas
"0,002406","1,077360","0,000488","0,000736"
"0,002210","0,909174","0,000480","0,000728"
"0,002168","0,907768","0,000477","0,000720"
"0,002141","0,915711","0,000466","0,000717"
"0,002201","0,910557","0,000465","0,000744"
"0,002787","0,908392","0,000474","0,000730"
"0,002248","0,904283","0,000473","0,000761"
"0,002234","0,904660","0,000463","0,000715"
"0,002202","0,908589","0,000476","0,000742"
"0,002214","0,953267","0,000471","0,000722"
"0,002270","0,904410","0,000474","0,000723"
"0,002260","0,908465","0,000471","0,000708"
"0,002236","0,910168","0,000496","0,000731"
"0,002276","0,906425","0,000479","0,000754"
"0,002456","0,908482","0,000513","0,000808"
"0,002209","0,903860","0,000467","0,000713"
"0,002166","0,907716","0,000474","0,000708"
"0,002240","0,904810","0,000480","0,000743"
"0,002228","0,906400","0,000466","0,000725"
"0,002156","0,912085","0,000488","0,000689"
"0,002144","0,912319","0,000480","0,000719"
"0,002368","0,904388","0,000479","0,000735"
"0,002272","0,904080","0,000651","0,000868"
"0,002206","0,908415","0,000474","0,000731"
"0,002308","0,908942","0,000487","0,000752"
"0,002238","0,907660","0,000485","0,000722"
"0,002282","0,903122","0,000495","0,000714"
"0,002128","0,909062","0,000479","0,000735"
"0,002290","0,904107","0,000480","0,000729"
"0,002228","0,904794","0,000482","0,000727"
"0,002273","0,907903","0,000485","0,000729"
"0,002209","0,904412","0,000475","0,000701"
"0,002177","0,906029","0,000488","0,000731"
"0,004518","0,907370","0,000487","0,000750"
"0,002214","0,906713","0,000483","0,000726"
"0,002217","0,905767","0,000466","0,000708"
"0,002152","0,913169","0,000481","0,000728"
"0,002348","0,910986","0,000474","0,000822"
"0,002244","0,934030","0,000552","0,000830"
"0,002191","0,954628","0,000485","0,000747"
"0,002255","0,914976","0,000488","0,000720"
"0,002236","0,941945","0,000485","0,000734"
"0,002237","0,904784","0,000477","0,000730"
"0,002247","0,902534","0,000474","0,000742"
"0,002286","0,905416","0,000482","0,000722"
"0,002279","0,902615","0,000460","0,000711"
"0,002167","0,915547","0,000480","0,000729"
"0,002254","0,906057","0,000466","0,000719"
"0,002211","0,902734","0,000471","0,000711"
"0,002196","1,041669","0,000625","0,000826"
"0,002413","1,012854","0,000480","0,000712"
"0,002217","1,085021","0,000515","0,000771"
"0,002559","1,065903","0,000488","0,000736"
"0,002365","1,022222","0,000490","0,000747"
"0,002267","1,261807","0,000519","0,000989"
"0,002439","1,210582","0,001018","0,001590"
"0,005562","1,180918","0,000506","0,000773"
"0,002355","1,010149","0,000493","0,000762"
"0,002548","1,360701","0,000530","0,001006"
"0,002839","1,007376","0,000618","0,000769"
"0,002408","1,219130","0,000562","0,000893"
"0,004352","1,176703","0,000490","0,000743"
"0,002331","1,006003","0,000479","0,000773"
"0,002210","1,007342","0,000499","0,000728"
"0,002325","0,985659","0,000478","0,000723"
"0,002326","0,958451","0,000479","0,000740"
"0,002257","1,316841","0,000535","0,000862"
"0,002727","1,136817","0,000705","0,000801"
"0,002870","1,177394","0,000503","0,000869"
"0,002704","1,308818","0,001076","0,001590"
"0,005439","1,210720","0,000734","0,000836"
"0,003876","1,083496","0,000522","0,000765"
"0,002324","1,055855","0,000815","0,001503"
"0,004235","1,123618","0,000516","0,000706"
"0,002204","1,113497","0,000688","0,001038"
"0,002377","1,008580","0,000474","0,000723"
"0,002247","0,948302","0,000468","0,000728"
"0,002226","0,998764","0,000484","0,000717"
"0,002521","0,999929","0,000710","0,001484"
"0,003389","1,186421","0,000491","0,000734"
"0,002449","1,135834","0,000727","0,000761"
"0,002678","1,013169","0,000696","0,000895"
"0,002283","0,964250","0,000478","0,000754"
"0,002270","0,913497","0,000473","0,000725"
"0,002253","0,918379","0,000488","0,000740"
"0,002263","0,960646","0,000486","0,000715"
"0,002489","0,968260","0,000477","0,000716"
"0,002245","0,921732","0,000476","0,000915"
"0,002618","0,956869","0,000483","0,000734"
"0,002247","0,911681","0,000478","0,000719"
"0,002165","0,901483","0,000481","0,000735"
"0,002275","0,901256","0,000477","0,000788"
"0,002214","0,905136","0,000473","0,000729"
"0,002434","0,912813","0,000477","0,000722"
"0,002407","1,038045","0,000763","0,001441"
"0,003387","1,136686","0,000515","0,000788"
"0,003397","1,184699","0,563700","0,001074"
"0,002415","1,095713","0,000844","0,001016"
"0,003502","1,188613","0,000584","0,000825"
"0,002395","1,073371","0,000627","0,000820"
