PilaPrinceton, PilaDeCola, ColaPrinceton, ColaDePilas
0.014230914,0.025282854,0.004404614,0.001792673
0.002291454,0.017040988,8.05172E-4,9.51468E-4
0.001627843,0.012302966,7.44119E-4,8.94536E-4
0.001579502,0.007961972,6.7085E-4,7.63514E-4
0.001634902,0.008082306,7.21886E-4,8.59545E-4
0.00138366,0.01000555,8.76402E-4,9.59854E-4
0.001571799,0.011741127,7.68691E-4,9.33941E-4
0.001451003,0.011551525,7.87149E-4,8.40627E-4
0.001498355,0.011204632,7.60349E-4,7.72203E-4
0.001522531,0.007735529,7.67368E-4,8.52548E-4
0.001381213,0.007684446,6.96518E-4,7.6838E-4
0.001453322,0.007449819,6.51458E-4,7.14476E-4
0.001322165,0.007500536,7.83934E-4,8.39785E-4
0.001115761,0.007379731,7.61434E-4,8.47147E-4
0.001194942,0.007415575,6.80599E-4,8.03814E-4
9.58274E-4,0.007207089,7.00482E-4,8.51622E-4
7.37088E-4,0.007154038,6.91713E-4,7.62264E-4
6.86656E-4,0.007111445,7.07605E-4,6.84067E-4
5.73297E-4,0.007115272,6.91648E-4,7.80258E-4
7.66193E-4,0.007110879,7.00922E-4,8.93945E-4
7.29974E-4,0.011833473,7.66495E-4,8.89565E-4
7.38999E-4,0.010903775,6.38562E-4,7.65328E-4
5.9312E-4,0.007338697,6.87968E-4,7.68347E-4
6.59111E-4,0.00700176,6.88415E-4,6.85042E-4
6.1302E-4,0.00709772,7.27388E-4,8.16198E-4
6.57874E-4,0.006945892,6.98843E-4,8.69096E-4
5.92471E-4,0.0065017,6.58078E-4,7.20078E-4
3.61318E-4,0.006441715,6.9998E-4,6.78181E-4
4.01192E-4,0.006323613,5.09533E-4,5.0784E-4
4.25651E-4,0.006529753,4.95813E-4,3.78095E-4
4.18051E-4,0.00687414,7.0251E-4,5.85085E-4
4.18555E-4,0.006947604,5.08694E-4,5.03403E-4
4.1135E-4,0.006369308,2.58754E-4,2.96097E-4
3.65166E-4,0.006207542,2.00712E-4,2.43555E-4
3.71967E-4,0.006268916,2.03486E-4,2.60939E-4
5.0183E-4,0.006241124,2.16025E-4,2.89948E-4
4.31859E-4,0.006529056,1.94479E-4,2.43693E-4
4.09483E-4,0.006809262,1.83677E-4,2.23276E-4
4.72589E-4,0.0068816,2.22851E-4,2.21834E-4
