PilaPrinceton, PilaDeCola, ColaPrinceton, ColaDePilas
0.001106156,0.296932354,2.63508E-4,4.84895E-4
0.001135026,0.239061457,2.05714E-4,3.09055E-4
0.001053555,0.284794905,3.60834E-4,6.27E-4
0.001801821,0.252760726,3.42231E-4,5.39517E-4
0.00113685,0.261476812,2.06454E-4,3.09012E-4
0.00100299,0.275073139,1.99242E-4,3.36107E-4
0.001188478,0.260960008,2.009E-4,2.99937E-4
0.001113672,0.213230314,1.93675E-4,3.29147E-4
9.68604E-4,0.26349521,2.0307E-4,3.11669E-4
9.93883E-4,0.21569716,1.9391E-4,2.93955E-4
0.001132626,0.20618783,2.01693E-4,3.18042E-4
0.001031591,0.210817075,2.02997E-4,2.96658E-4
9.58724E-4,0.207518277,1.95414E-4,3.02406E-4
9.99522E-4,0.212394604,2.05621E-4,3.01575E-4
0.001043493,0.214331315,1.91071E-4,3.11432E-4
9.85177E-4,0.251466866,4.87975E-4,6.10005E-4
0.001881952,0.276069531,1.99885E-4,2.87402E-4
9.61528E-4,0.229897162,3.77085E-4,6.57292E-4
0.001852477,0.306519527,2.0331E-4,3.01887E-4
0.001173998,0.217811778,2.00647E-4,3.05665E-4
9.56397E-4,0.224873031,3.93484E-4,5.91614E-4
0.002014099,0.233448859,1.99174E-4,3.07129E-4
0.001000019,0.213319413,1.95705E-4,3.01425E-4
9.5502E-4,0.27992953,3.02033E-4,5.45397E-4
0.0010261,0.2159401,2.1002E-4,3.15382E-4
0.00168954,0.245690388,1.91404E-4,3.07754E-4
0.001317798,0.235660137,2.09037E-4,3.67439E-4
0.001150926,0.288144392,2.15523E-4,3.1104E-4
0.001040215,0.278586643,2.31151E-4,3.638E-4
0.001681609,0.253077515,2.31615E-4,3.697E-4
0.001182914,0.261319664,2.31231E-4,4.48111E-4
0.001463227,0.274526557,3.27858E-4,3.6373E-4
0.001351954,0.269240012,2.43435E-4,3.77873E-4
0.00132567,0.251760566,3.18765E-4,4.44229E-4
0.001205589,0.252399614,2.30259E-4,3.47988E-4
0.001167655,0.283103601,2.39462E-4,3.7474E-4
0.00123122,0.275369147,2.45249E-4,3.7134E-4
0.001226168,0.253986127,2.41241E-4,3.60568E-4
0.001185618,0.260168157,2.30685E-4,3.49623E-4
0.001394657,0.249307634,2.38348E-4,3.5846E-4
0.00141009,0.244333391,2.31371E-4,3.59504E-4
0.001237478,0.271072096,4.5984E-4,4.33165E-4
0.001244335,0.281313905,2.48946E-4,3.82677E-4
0.001266162,0.28252588,3.25757E-4,3.81758E-4
0.001258874,0.260180928,2.45376E-4,3.55749E-4
0.001241129,0.345046396,2.61466E-4,3.76225E-4
0.001826951,0.365444685,4.08216E-4,6.03329E-4
0.002332128,0.371264473,8.38002E-4,8.76588E-4
0.002684897,0.362486249,4.42463E-4,5.10254E-4
0.001933647,0.298579824,2.57864E-4,3.63126E-4
0.001268389,0.261895403,2.36018E-4,3.57871E-4
0.001227465,0.257106568,2.31105E-4,3.52338E-4
0.001163584,0.275571028,2.39612E-4,3.59889E-4
0.001330346,0.25970774,2.53688E-4,4.73052E-4
0.001315632,0.256641484,2.59534E-4,5.28057E-4
0.001602855,0.240355825,2.63372E-4,4.29766E-4
0.001199362,0.247826046,2.32376E-4,3.47891E-4
0.00131421,0.254182917,2.36625E-4,3.60734E-4
0.001266011,0.291757074,3.89641E-4,6.11146E-4
0.001801262,0.278124576,2.46215E-4,3.67124E-4
0.001194869,0.261269532,2.62532E-4,4.04956E-4
0.001277537,0.283788769,5.39004E-4,8.88324E-4
0.002401074,0.281084837,2.40717E-4,3.58724E-4
0.001386961,0.286016772,2.51131E-4,3.57478E-4
0.001290742,0.258737876,2.62502E-4,3.81599E-4
0.001197128,0.252032173,2.31773E-4,3.9539E-4
0.001206854,0.247873752,2.32053E-4,3.48245E-4
0.001167416,0.244651059,2.34162E-4,3.40826E-4
0.001168912,0.229453412,2.24835E-4,3.41259E-4
0.001123507,0.231228041,2.28814E-4,3.42853E-4
0.001114192,0.236605198,2.27934E-4,3.43961E-4
0.001137048,0.230775005,2.28823E-4,3.46013E-4
0.001128902,0.280587889,2.36807E-4,3.62669E-4
0.001216722,0.244924677,2.41396E-4,3.47913E-4
0.001230071,0.235470396,2.24863E-4,3.33099E-4
0.001297631,0.239157639,2.31527E-4,3.60249E-4
0.001143999,0.241419857,2.23591E-4,3.49292E-4
0.001120475,0.24198867,2.25518E-4,3.44172E-4
0.0011735,0.248010246,2.35168E-4,3.38846E-4
0.001134975,0.350501149,4.93906E-4,7.47098E-4
0.002587652,0.461327487,7.18328E-4,7.97383E-4
0.002795403,0.428102665,2.91943E-4,4.0042E-4
0.001372368,0.298177021,2.59738E-4,3.7188E-4
0.001245888,0.251242913,4.79337E-4,6.56902E-4
0.002397313,0.248392369,2.40004E-4,3.52538E-4
0.001348817,0.253564107,2.34402E-4,3.2944E-4
0.001150925,0.248676631,2.56254E-4,3.66153E-4
0.00120672,0.244239683,2.31342E-4,3.57832E-4
0.001161983,0.244620736,2.27706E-4,5.63388E-4
0.001257628,0.346368378,4.84693E-4,6.8794E-4
0.002669398,0.515967268,4.30315E-4,7.1944E-4
0.00255862,0.510650323,5.31166E-4,7.85106E-4
0.002893778,0.294021595,3.10912E-4,5.02991E-4
0.00174913,0.339790795,2.56199E-4,3.85878E-4
0.00133417,0.268192911,2.43517E-4,3.6548E-4
0.00119919,0.240639384,2.27445E-4,3.49088E-4
0.001175567,0.231454124,2.26932E-4,3.50235E-4
0.001133007,0.233000595,2.2932E-4,3.43479E-4
0.001140898,0.230886215,2.24848E-4,3.75181E-4
0.001141472,0.247586342,2.37082E-4,3.82552E-4
