N,PilaPrinceton,PilaDeCola,ColaPrinceton,ColaDePilas
1024,0.00003125,0.00001563,0.00018750,0.00017188
1024,0.00001563,0.00001563,0.00017188,0.00007813
1024,0.00001563,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00001563,0.00007813
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00006250,0.00007813
1024,0.00000000,0.00000000,0.00003125,0.00007813
1024,0.00000000,0.00000000,0.00004688,0.00003125
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00001563,0.00006250
1024,0.00000000,0.00000000,0.00003125,0.00007813
1024,0.00000000,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00004688
1024,0.00001563,0.00000000,0.00000000,0.00004688
1024,0.00001563,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00003125,0.00001563
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00003125,0.00004688
1024,0.00000000,0.00000000,0.00003125,0.00007813
1024,0.00000000,0.00000000,0.00003125,0.00007813
1024,0.00000000,0.00000000,0.00003125,0.00007813
1024,0.00000000,0.00000000,0.00003125,0.00006250
1024,0.00001563,0.00000000,0.00001563,0.00004688
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00004688
1024,0.00001563,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00004688
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00007813
1024,0.00000000,0.00000000,0.00001563,0.00007813
1024,0.00000000,0.00000000,0.00003125,0.00007813
1024,0.00000000,0.00000000,0.00001563,0.00006250
1024,0.00000000,0.00001563,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00004688
1024,0.00000000,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00003125,0.00004688
1024,0.00001563,0.00000000,0.00003125,0.00006250
1024,0.00001563,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00001563,0.00003125,0.00006250
1024,0.00001563,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00001563,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00003125,0.00006250
1024,0.00001563,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00001563,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00004688
1024,0.00000000,0.00000000,0.00003125,0.00006250
1024,0.00001563,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00001563,0.00003125,0.00004688
1024,0.00000000,0.00001563,0.00003125,0.00006250
1024,0.00000000,0.00001563,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00003125,0.00004688
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00001563,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00004688
1024,0.00000000,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00004688
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00004688
1024,0.00001563,0.00000000,0.00003125,0.00006250
1024,0.00001563,0.00000000,0.00003125,0.00007813
1024,0.00000000,0.00000000,0.00003125,0.00004688
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00004688
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00004688
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00006250,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00003125
1024,0.00000000,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00001563,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00003125,0.00004688
1024,0.00000000,0.00000000,0.00001563,0.00006250
1024,0.00001563,0.00000000,0.00003125,0.00003125
1024,0.00001563,0.00000000,0.00004688,0.00004688
1024,0.00001563,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00003125,0.00003125
1024,0.00000000,0.00000000,0.00004688,0.00004688
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00001563,0.00006250
1024,0.00000000,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00001563,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00003125,0.00004688
1024,0.00001563,0.00000000,0.00003125,0.00006250
1024,0.00000000,0.00000000,0.00004688,0.00006250
1024,0.00000000,0.00000000,0.00001563,0.00004688
1024,0.00000000,0.00000000,0.00001563,0.00003125
1024,0.00000000,0.00000000,0.00003125,0.00006250
2048,0.00001563,0.00000000,0.00004688,0.00014063
2048,0.00000000,0.00000000,0.00003125,0.00009375
2048,0.00001563,0.00000000,0.00004688,0.00012500
2048,0.00001563,0.00000000,0.00007813,0.00010938
2048,0.00000000,0.00000000,0.00009375,0.00006250
2048,0.00000000,0.00001563,0.00007813,0.00007813
2048,0.00001563,0.00000000,0.00006250,0.00015625
2048,0.00000000,0.00000000,0.00007813,0.00014063
2048,0.00001563,0.00000000,0.00007813,0.00014063
2048,0.00000000,0.00000000,0.00010938,0.00012500
2048,0.00000000,0.00000000,0.00009375,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00001563,0.00000000,0.00006250,0.00012500
2048,0.00000000,0.00001563,0.00007813,0.00012500
2048,0.00000000,0.00001563,0.00007813,0.00014063
2048,0.00000000,0.00000000,0.00009375,0.00012500
2048,0.00000000,0.00000000,0.00006250,0.00012500
2048,0.00001563,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00001563,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00001563,0.00007813,0.00010938
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00001563,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00001563,0.00006250,0.00010938
2048,0.00000000,0.00001563,0.00007813,0.00009375
2048,0.00000000,0.00000000,0.00009375,0.00010938
2048,0.00001563,0.00000000,0.00006250,0.00009375
2048,0.00000000,0.00000000,0.00007813,0.00014063
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00001563,0.00007813,0.00010938
2048,0.00000000,0.00000000,0.00006250,0.00012500
2048,0.00000000,0.00000000,0.00004688,0.00014063
2048,0.00000000,0.00001563,0.00007813,0.00014063
2048,0.00000000,0.00000000,0.00009375,0.00014063
2048,0.00000000,0.00001563,0.00007813,0.00010938
2048,0.00000000,0.00000000,0.00009375,0.00012500
2048,0.00000000,0.00000000,0.00009375,0.00012500
2048,0.00001563,0.00000000,0.00009375,0.00014063
2048,0.00000000,0.00001563,0.00007813,0.00009375
2048,0.00001563,0.00000000,0.00006250,0.00012500
2048,0.00000000,0.00000000,0.00009375,0.00012500
2048,0.00001563,0.00000000,0.00007813,0.00010938
2048,0.00000000,0.00000000,0.00007813,0.00010938
2048,0.00001563,0.00000000,0.00007813,0.00014063
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00001563,0.00000000,0.00007813,0.00010938
2048,0.00000000,0.00000000,0.00009375,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00001563,0.00000000,0.00007813,0.00014063
2048,0.00000000,0.00000000,0.00007813,0.00009375
2048,0.00000000,0.00001563,0.00007813,0.00014063
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00006250,0.00012500
2048,0.00000000,0.00001563,0.00007813,0.00006250
2048,0.00001563,0.00000000,0.00007813,0.00010938
2048,0.00000000,0.00000000,0.00007813,0.00010938
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00009375,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00009375
2048,0.00001563,0.00000000,0.00007813,0.00012500
2048,0.00001563,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00006250,0.00012500
2048,0.00000000,0.00001563,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00010938
2048,0.00000000,0.00001563,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00009375,0.00010938
2048,0.00001563,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00001563,0.00004688,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00001563,0.00000000,0.00007813,0.00010938
2048,0.00001563,0.00000000,0.00004688,0.00010938
2048,0.00001563,0.00000000,0.00006250,0.00010938
2048,0.00001563,0.00000000,0.00007813,0.00010938
2048,0.00000000,0.00001563,0.00007813,0.00012500
2048,0.00000000,0.00001563,0.00004688,0.00006250
2048,0.00000000,0.00001563,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00010938
2048,0.00000000,0.00001563,0.00006250,0.00010938
2048,0.00000000,0.00000000,0.00004688,0.00010938
2048,0.00000000,0.00000000,0.00006250,0.00012500
2048,0.00001563,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00001563,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00009375
2048,0.00001563,0.00000000,0.00006250,0.00012500
2048,0.00000000,0.00001563,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00014063
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00001563,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00006250,0.00012500
2048,0.00001563,0.00000000,0.00007813,0.00010938
2048,0.00000000,0.00001563,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00010938
2048,0.00001563,0.00000000,0.00006250,0.00010938
2048,0.00000000,0.00000000,0.00009375,0.00012500
2048,0.00000000,0.00000000,0.00006250,0.00012500
2048,0.00000000,0.00000000,0.00007813,0.00012500
2048,0.00000000,0.00000000,0.00006250,0.00012500
4096,0.00001563,0.00001563,0.00015625,0.00023438
4096,0.00001563,0.00000000,0.00015625,0.00025000
4096,0.00001563,0.00000000,0.00017188,0.00023438
4096,0.00001563,0.00001563,0.00018750,0.00025000
